"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-08-27","9","14978","91","0.00607557751368674","1","3","16","19","0","1","36","0","0","0","0","0","0","20","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-28","2","2497","65","0.026031237484981977","0","1","15","10","0","1","12","0","0","0","0","0","0","28","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-29","4","690","46","0.06666666666666667","1","3","8","9","1","1","3","0","0","0","0","0","0","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-30","2","555","36","0.06486486486486487","1","0","8","10","0","0","2","0","0","0","0","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-08-31","8","916","61","0.0665938864628821","0","3","12","11","1","0","11","0","0","0","0","0","0","25","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-01","12","1693","122","0.07206142941523921","0","5","30","25","0","0","19","0","0","0","0","0","0","43","43","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-02","2","1704","77","0.04518779342723005","0","2","16","20","0","0","12","0","0","0","0","0","0","27","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-03","2","1383","57","0.04121475054229935","0","0","17","10","9","1","12","0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-04","3","820","46","0.05609756097560976","0","1","7","6","0","0","6","0","0","0","0","0","0","26","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-05","4","672","46","0.06845238095238096","0","2","4","7","2","0","16","0","0","0","0","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-06","9","982","35","0.035641547861507125","1","2","8","8","0","0","4","0","0","0","0","0","0","29","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-07","2","1695","47","0.027728613569321534","0","0","11","11","0","0","8","0","0","0","0","0","0","23","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-08","3","598","37","0.061872909698996656","0","0","18","6","0","0","3","0","0","0","0","0","0","12","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-09","7","867","29","0.03344867358708189","0","3","12","3","1","0","5","0","0","0","0","0","0","9","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-10","4","515","24","0.04660194174757282","0","2","8","4","2","0","3","0","0","0","0","0","0","19","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-11","3","512","18","0.03515625","0","2","13","0","0","0","1","0","0","0","0","0","0","53","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-12","10","1466","36","0.02455661664392906","0","1","9","7","1","1","6","0","0","0","0","0","0","45","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-13","3","1200","28","0.023333333333333334","0","0","5","10","0","0","4","0","0","0","0","0","0","12","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-14","2","194","10","0.05154639175257732","0","0","3","2","1","0","2","0","0","0","0","0","0","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-15","3","156","9","0.057692307692307696","0","0","7","1","1","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-16","3","343","8","0.023323615160349854","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-17","9","1314","39","0.02968036529680365","0","4","14","8","0","0","13","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-18","1","502","35","0.0697211155378486","0","0","17","4","1","1","8","0","0","0","0","0","0","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-19","0","817","32","0.03916768665850673","0","2","15","2","0","0","4","0","0","0","0","0","0","14","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-20","0","680","37","0.054411764705882354","1","1","16","2","0","0","3","0","0","0","0","0","0","16","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-21","5","409","26","0.06356968215158924","0","2","7","1","0","0","0","0","0","0","0","0","0","17","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-22","2","1079","59","0.05468025949953661","1","0","9","6","0","0","14","0","0","0","0","0","0","37","29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-09-23","0","543","15","0.027624309392265192","0","0","5","1","0","0","3","0","0","0","0","0","0","13","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
